,arsno,bstopid,bstopnm,gpsx,gpsy,stoptype
239,02162,168250305,동대신2동,129.0238266667,35.1152433333,일반
241,02166,208850202,동양레미콘,129.0060016667,35.0757866667,일반
244,02169,168780101,대신중학교,129.01375,35.117025,일반
245,02170,168570501,경남고등학교,129.0179916667,35.1191366667,일반
246,02171,208920201,현대아파트,129.017532266419,35.070902211983,일반
248,02173,168750204,해강노인관,129.0202183333,35.0850416667,일반
251,02177,168520201,성진수산,129.012010098387,35.062186515951,일반
253,02179,168850201,부산국제수산물도매시장,129.011436,35.059938,일반
256,02182,212650201,수산가공선진화단지입구,129.0122832,35.05705224,일반
258,02184,215970101,수산가공선진화단지,129.011955445317,35.054637982065,일반
260,02186,168750205,남부민동,129.0179927,35.08326948,일반
261,02187,168630201,동산교회,129.0157694,35.08439027,일반
262,02188,168870201,알로이시오고교,129.012298746371,35.082348147692,일반
265,02191,210740201,천마마을,129.0144322,35.08451163,일반
267,02195,168600303,까치고개,129.011425,35.1045816667,일반
268,03001,170050202,범곡교차로,129.0562937,35.14008672,일반
270,03003,169300101,부산범천교회,129.054860427563,35.141841175067,일반
271,03004,169210102,아름빌아파트,129.052248722123,35.141521517731,일반
273,03006,169210101,서광교회,129.05114,35.139965,일반
275,03008,169410301,범일초등학교,129.0490066667,35.1406983333,일반
276,03009,169410302,삼화약국,129.0487933333,35.1433733333,일반
281,03014,210060101,성북고개,129.04816,35.138795,일반
284,03017,210060201,좌천할인마트.서린엘마르더뷰,129.047000416464,35.136724680015,일반
285,03018,210050101,좌천동농심가슈퍼,129.0472966667,35.1368433333,일반
286,03019,169230301,수정삼거리,129.04568,35.1353483333,일반
290,03023,169230201,수정5동,129.0446783333,35.1340216667,일반
292,03025,169230202,수정성당입구,129.046115,35.1323283333,일반
293,03027,169440301,수정초등학교,129.046995,35.1313666667,일반
294,03028,169200101,수성초등학교,129.042705,35.1339116667,일반
296,03030,169200301,동여중,129.042245,35.1323216667,일반
298,03032,169500301,수정2동,129.04061,35.1303016667,일반
300,03034,169500101,수정아파트,129.040875,35.12719,일반
302,03036,169500102,묘심사,129.03943,35.1265133333,일반
303,03037,169180201,부산서중학교,129.035755481689,35.125936557942,일반
306,03040,169310103,초량6동,129.0348466667,35.12421,일반
308,03042,169310102,부산컴퓨터과학고교,129.0338733333,35.1222383333,일반
310,03044,169310101,금수사,129.0307666667,35.1198316667,일반
312,03046,169450502,초량6동주민센터,129.0337366667,35.1201366667,일반
314,03048,169310203,(구)해룡약국,129.0361216667,35.119645,일반
315,03049,169310301,화신아파트,129.0300883333,35.1185183333,일반
317,03051,169310302,동일파크맨션,129.033616358881,35.116875118519,일반
319,03061,169330202,부산역후문,129.0430416667,35.1143116667,일반
321,03065,169100301,국민은행,129.0396433333,35.11718,일반
322,03066,169450401,초량지구대,129.037728642867,35.117926224452,일반
324,03068,169450503,부산고교,129.038198,35.120503,일반
328,03073,169140301,초량시장입구,129.040797663024,35.11864626729,일반
329,03074,169130201,부산역.초량시장입구,129.040142473547,35.116873156872,일반
330,03082,169030401,초량역3번출구,129.041653,35.119834,일반
331,03083,169450101,(구)성분도병원,129.0403283333,35.1225983333,일반
332,03085,169040301,경남여중,129.042385,35.1241133333,일반
333,03086,169040201,인창병원,129.0429316667,35.1226833333,일반
335,03093,169340201,4부두,129.047539495334,35.119299661743,일반
337,03099,169610202,고관입구,129.0453733333,35.1263483333,일반
338,03101,169490101,동구청,129.045055,35.1268433333,일반
340,03103,169440201,수정시장,129.04634,35.12862,일반
343,03113,169350101,부두119안전센터,129.05139833312,35.125673579411,일반
345,03115,169670401,남해지방해양경찰청,129.05485,35.127555,일반
347,03124,170030201,범일5동주민센터,129.05423,35.1304233333,일반
349,03126,170000201,대양산업,129.0573333333,35.1313266667,일반
351,03128,169940101,보급창,129.059665,35.132115,일반
352,03129,169920201,자성대,129.06077,35.1345866667,일반
354,03136,169950302,좌천동가구거리(좌천역),129.0552366667,35.13527,일반
357,03144,169770201,시민회관.동부산우체국,129.0625433333,35.1382933333,일반
359,03146,169990101,범일동국민은행,129.06087836314,35.138925949637,일반
360,03149,164200201,자유.평화시장,129.060251532728,35.140635497141,일반
362,03151,208120101,덕림아파트,129.038486112595,35.126315531405,일반
364,03153,169450504,초량어린이집,129.031843628851,35.119681130118,일반
368,03157,169530101,수정4동(종점),129.0387633333,35.1274166667,일반
369,03158,169860101,범5호교,129.0630216667,35.14061,일반
370,03159,169210202,범일초등학교입구,129.051478,35.139865,일반
371,03161,169210201,나웅하이빌,129.053638,35.1388205,일반
375,03165,169220102,금성고등학교,129.05213,35.1344761,일반
377,03167,169220103,좌이경로당,129.049849,35.1329991,일반
379,03169,169240201,하승빌라,129.048035,35.1341937,일반
381,03171,169170201,아르미나아파트,129.035788858531,35.125520955754,일반
382,03172,169470101,수정1동공영주차장,129.039024117153,35.124840236452,일반
383,03173,169070201,이편한세상부산항.(구)성분도병원,129.040083141888,35.122443302682,일반
384,03175,169950101,한성기린아파트,129.056577009501,35.139135669862,일반
387,03178,169470102,한림유치원,129.0399311,35.12393281,일반
388,03179,216730101,부산항국제여객터미널,129.04830513064,35.117760841194,일반
389,03180,216740101,부산항국제여객터미널입구,129.047517553436,35.117625459588,일반
391,03182,169200302,수정산가족체육공원입구,129.0404965,35.13175671,일반
392,03183,169070301,걸스카우트회관,129.039373676377,35.122912590858,일반
394,03186,504670000,눌원빌딩,129.065251618358,35.136843313839,일반
396,03210,169420101,안창마을입구,129.04819,35.1444,일반
397,03701,509900000,범일역,129.059289136036,35.137490042263,일반
399,03703,509980000,부산진시장,129.059323419355,35.135367215802,일반
401,03706,510060000,자성대교차로,129.058841097869,35.134183623,일반
402,03708,510070000,좌천역.좌천삼거리,129.053866056213,35.133083023835,일반
403,03709,509920000,봉생병원,129.050504421228,35.130591936352,일반
405,03711,509990000,부산진역,129.048828014322,35.128917091969,일반
407,03713,509780000,YMCA,129.045076946999,35.125204572506,일반
409,03715,509810000,경남여중입구,129.043792356449,35.122959807828,일반
411,03717,510140000,초량역.초량교차로,129.042363344121,35.12019928914,일반
413,03719,509960000,부산역,129.040012168729,35.116079994008,일반
415,04001,170170301,미광마린타워,129.043095,35.0936083333,일반
416,04002,170160101,영도봉래시장,129.0432416667,35.0933283333,일반
417,04003,170350401,해동병원,129.0441416667,35.091975,일반
419,04005,170300301,영선119안전센터,129.04319,35.0901633333,일반
421,04007,170300402,영도우체국,129.04201419057,35.091480660309,일반
424,04010,170180401,대교동,129.0386566667,35.0926216667,일반
425,04011,170400301,영도경찰서,129.0377683333,35.09299,일반
428,04014,211060201,깡깡이예술마을,129.0374416667,35.09129,일반
430,04016,211500301,남항동,129.03854,35.0901166667,일반
431,04017,211500101,대교사거리,129.039461913257,35.091462519426,일반
434,04020,171050101,태종대초등학교,129.081115,35.0648966667,일반
435,04021,211240301,남항시장,129.04245,35.088785,일반
437,04024,208940102,차고지,129.0812560169,35.0634140899,일반
438,04025,170240101,영선아랫교차로,129.04011,35.0862316667,일반
440,04028,170220502,영선위교차로,129.0424416667,35.085475,일반
443,04031,170100101,부산보건고,129.04135,35.08302,일반
445,04033,170380201,흰여울문화마을,129.044193783218,35.079581537656,일반
449,04037,211170101,신선중학교,129.0448016667,35.0815266667,일반
451,04039,170430101,신선동주민센터,129.045384710598,35.083369399733,일반
453,04041,170440101,남도여중,129.046145,35.08609,일반
455,04043,211830102,삼거리이용원,129.0489533333,35.0915666667,일반
456,04044,170340301,외나무약국,129.046955,35.08824,일반
458,04046,211830101,영도배수지,129.04797,35.09044,일반
460,04048,170120201,센트럴에일린의뜰,129.04952,35.0922366667,일반
463,04051,170940303,봉래2동마을건강센터,129.052765,35.0937516667,일반
465,04053,170110103,영월사,129.0544516667,35.0940116667,일반
467,04055,170940301,청학고개,129.05663,35.09405,일반
468,04056,170350201,교통순찰대.센트럴에일린의뜰,129.046431690186,35.093660733793,일반
470,04059,170310201,한성맨션,129.050764642987,35.094993744404,일반
472,04061,211390302,HJ중공업,129.0536566667,35.0960383333,일반
473,04063,170310101,봉학초등학교,129.05356114847,35.095644168852,일반
474,04064,211390301,SK부산저유소,129.055611276354,35.097970478571,일반
475,04065,170310102,신도브래뉴아파트,129.055467565933,35.09727769975,일반
476,04066,210810101,청학시장,129.0598766667,35.09721,일반
477,04067,170980302,청학동부산은행,129.0615366667,35.0964466667,일반
479,04069,170930101,청학성당,129.063065,35.0957433333,일반
480,04070,171000302,청학주유소,129.0648033333,35.0940333333,일반
482,04072,170990101,영도구청,129.068255,35.0894483333,일반
484,04074,209570301,동삼주공,129.07252,35.0861383333,일반
485,04075,170990102,동삼주공아파트입구,129.0716566667,35.0868883333,일반
486,04076,171200201,상리종합사회복지회관,129.0710383333,35.0853933333,일반
488,04078,171210201,동삼3동주민센터,129.0687383333,35.0844316667,일반
490,04080,171480102,관리사무소,129.0674266667,35.08517,일반
491,04081,171480101,나상가,129.06722,35.0863166667,일반
492,04082,171200101,동삼삼거리,129.072292540617,35.084657800434,일반
494,04084,211100201,일동미라주아파트,129.0708,35.08184,일반
496,04086,209710401,동삼시장,129.0703733333,35.079165,일반
498,04088,171130201,동삼국민은행앞교차로,129.072144,35.076183,일반
500,04090,171190301,삼창파크맨션,129.0725783333,35.0753983333,일반
501,04091,171060302,에덴금호아파트,129.075435,35.0724133333,일반
503,04093,171290102,해양대입구,129.07817,35.071358,일반
